2017-08-30 17:45:44;-5
2017-08-30 18:17:43;-3
2017-08-30 18:48:42;-1
2017-08-30 19:18:42;1
2017-08-30 19:49:42;3
2017-08-30 20:20:42;5
2017-08-30 20:54:03;7
2017-08-30 21:26:03;9
2017-08-30 21:57:03;11
2017-08-30 22:25:03;13
2017-08-30 22:57:03;15
2017-08-30 23:28:04;17
2017-08-30 23:58:04;19
2017-08-31 00:30:05;21
2017-08-31 01:04:05;23
2017-08-31 01:32:06;27
2017-08-31 02:06:07;29
2017-08-31 02:40:07;31
2017-08-31 13:01:38;25
2017-08-31 13:31:38;27
2017-08-31 13:03:39;29
2017-08-31 14:31:40;31
2017-08-31 15:07:02;33
2017-08-31 15:38:03;35
2017-08-31 16:08:04;37
2017-08-31 16:40:26;39
2017-08-31 17:09:27;41
2017-08-31 17:42:27;43
2017-08-31 17:54:28;45